seqName,errors,warnings,failedGenes
A/District_Of_Columbia/58/2019|7|11/28/2019|USA|M1,,,
A/Nevada/8293/2019|7|01/30/2019|USA|M1,,,
A/Louisiana/15/2020|7|02/05/2020|USA|M1,,,
A/Hawaii/18/2018|7|02/08/2018|USA|M1,,,
A/New_Mexico/08/2019|7|01/28/2019|USA|M1,,,
A/Wuhan/2153/2018|7|02/2018|China|M1,,,
A/Texas/9431/2019|7|02/06/2019|USA|M1,,,
A/South_Carolina/NHRC_OID_JX42387/2019|7|02/04/2019|USA|M1,,,
A/Osorno/PUC_MVL_COL150/2018|7|2018|Chile|M1,,,
A/California/142/2019|7|05/22/2019|USA|M1,,,
A/Texas/78/2018|7|02/02/2018|USA|M1,,,
